category_class	label	definition	synonyms	subsets	crossreferences	txgnn	medical_specialization	anatomical
MONDO:0010874	enteropathy, familial, with villous edema and immunoglobulin G2 deficiency		enteropathy, familial, with villous edema and immunoglobulin G2 deficiency		MESH:C563949; MEDGEN:324980; UMLS:C1838238; OMIM:600351	metabolic_disorder | inflammatory_disease | autoimmune_diseases	gastroenterology | genetics_and_genomics | immunology	lower_gastrointestinal_disorder | immune_disorder
MONDO:0009172	enterocolitis	An inflammatory process affecting the small intestine and colon. Causes include viruses, bacteria, radiation, and antibiotics use.	enterocolitis (disease); enterocolitis	mondo:otar	HP:0004387; ICD9:558.9; EFO:1001481; OMIM:226150; MESH:D004760; MEDGEN:4966; SCTID:43752006; NCIT:C79573; UMLS:C0014356	inflammatory_disease | autoimmune_diseases	gastroenterology | pediatric	lower_gastrointestinal_disorder | immune_disorder | upper_gastrointestinal_disorder
MONDO:0024504	enterochromaffin cell serotonin-producing pancreatic neuroendocrine tumor	A usually slow-growing, grade 1 pancreatic neuroendocrine tumor that secretes serotonin. When it metastasizes to the liver, it produces the clinical symptoms of the carcinoid syndrome.	carcinoid tumor of pancreas; serotonin-producing PNET; serotonin-producing pancreatic neuroendocrine tumor; carcinoid neoplasm of the pancreas; carcinoid tumor of the pancreas; serotonin-producing pancreatic NET; pancreatic carcinoid tumor; pancreatic serotonin producing tumour; pancreatic serotonin producing tumor; pancreatic serotonin producing neoplasm; EC cell, serotonin producing pancreatic neuroendocrine tumor; serotonin-producing tumour of the pancreas; EC cell, serotonin producing pancreatic NET; EC cell, serotonin producing pancreatic neuroendocrine tumour; carcinoid tumour of pancreas; pancreatic carcinoid tumour; serotonin-producing pancreatic neuroendocrine tumour; serotonin-producing tumor of the pancreas; serotonin-producing tumor of pancreas; enterochromaffin cell serotonin-producing pancreatic neuroendocrine tumor; serotonin-producing tumour of pancreas; carcinoid tumour of the pancreas; carcinoid neoplasm of pancreas	mondo:gard_rare; mondo:orphanet_rare; mondo:ordo_disorder; mondo:rare; mondo:nord_rare	UMLS:C0345933; NCIT:C4446; GARD:22055; Orphanet:506090; MEDGEN:91057	neuroendocrine_tumor|cancer	gastroenterology | oncology	endocrine_disorder | upper_gastrointestinal_disorder
MONDO:0005746	enterobiasis	An infection that is caused by the nematode Enterobius vermicularis; it is characterized predominantly by perianal pruritus.	Enterobius vermicularis disease or disorder; threadworm infection; Enterobius vermicularis caused disease or disorder; Oxyuris vermicularis infection; Enterobius vermicularis infectious disease	mondo:otar	SCTID:266162007; MESH:D017229; ICD9:127.4; ICD10CM:B80; UMLS:C0086227; DOID:7457; icd11.foundation:580098307; MEDGEN:88540; EFO:0007254; NCIT:C128396	autoimmune_diseases | inflammatory_disease	gastroenterology | pediatric | other	lower_gastrointestinal_disorder|upper_gastrointestinal_disorder
MONDO:0004543	enteric pattern testicular yolk sac tumor	A yolk sac tumor that arises from the testis and is characterized by the presence of immature glands.	testicular yolk Sac tumor, enteric pattern	mondo:gard_rare; mondo:rare	MEDGEN:308261; UMLS:C1515304; DOID:8362; NCIT:C39932	cancer | other	oncology | pediatric | genetics_and_genomics	lower_gastrointestinal_disorder|reproductive_system_disorder
MONDO:0001210	enophthalmos	Abnormal recession of the eyeball within the eye socket.	enophthalmos; enophthalmos (disease)		MESH:D015841; ICD9:376.5; SCTID:80093006; MEDGEN:473112; DOID:11175; HP:0000490; UMLS:C0423224; ICD9:376.50	neurodegenerative_disease|inflammatory_disease|adrenal_gland_disease	neurology | ophthalmology	eye_disorder|spinal_disorder|brain_disorder
MONDO:0023069	enlarged vestibular aqueduct syndrome		enlarged vestibular aqueduct syndrome	mondo:clingen; mondo:otar	UMLS:C1863752; DOID:0050332; MEDGEN:355050	autoimmune_diseases|neurodegenerative_disease|inflammatory_disease	neurology | otolaryngology	ear_disorder | brain_disorder
MONDO:0100288	enhanced S-cone syndrome	An autosomal recessive retinopathy in which patients have increased sensitivity to blue light; perception of blue light is mediated by what is normally the least populous cone photoreceptor subtype, the S (short wavelength, blue) cones. Characteristics include visual loss, with night blindness occurring from early in life, varying degrees of L (long, red)- and M (middle, green)-cone vision, and retinal degeneration.	enhanced S-cone syndrome	mondo:rare; mondo:nord_rare; mondo:gard_rare	MEDGEN:341446; MESH:C564835; OMIM:268100; DOID:0090059; ICD10CM:H35.5; UMLS:C1849394	neurodegenerative_disease | autoimmune_diseases	neurology | ophthalmology	eye_disorder | brain_disorder
MONDO:0043358	engraftment syndrome	A toxicity of hematopoietic stem cell transplantation that manifests as fever, rash and pulmonary deterioration which becomes evident at marrow engraftment. It occurs unexpectedly and is occasionally fatal. It can occur after an autogeneic or an allogeneic hematopoietic cell transplantation.	engraftment syndrome	mondo:rare; mondo:gard_rare	SCTID:426768001; MEDGEN:214709; GARD:11909; UMLS:C0919746; NCIT:C63324	cancer | autoimmune_diseases	oncology|hematology|pediatric	blood_bone_marrow_disorder | immune_disorder
MONDO:0000244	endothrix infectious disease	A dermatophyte infection of the hair that nvade the hair shaft and internalize into the hair cell.			DOID:0050105	autoimmune_diseases | inflammatory_disease	pediatric | infectious disease | allergy_and_immunology | pulmonology | cardiology	lymphatic_disorder | vascular_disorder
MONDO:0015292	endotheliitis	An inflammatory disease involving a pathogenic inflammatory response in the endothelium.	endothelium inflammation; inflammation of endothelium	mondo:ordo_disorder; mondo:rare; mondo:orphanet_rare; mondo:nord_rare; mondo:gard_rare	UMLS:C0423262; Orphanet:137602; icd11.foundation:1363910196; MEDGEN:602202; GARD:19880	autoimmune_diseases | inflammatory_disease | cardiovascular_disorder	cardiothoracic | rheumatology	vascular_disorder | immune_disorder | other
MONDO:0009171	endothelial dystrophy, congenital hereditary, with nail hypoplasia		endothelial dystrophy, congenital hereditary, with nail hypoplasia		MEDGEN:341664; UMLS:C1856970; OMIM:226110; MESH:C565591	cardiovascular_disorder | metabolic_disorder | inflammatory_disease | autoimmune_diseases	genetics_and_genomics | pediatric | dermatology	vascular_disorder | skin_disorder | joint_disorder
MONDO:0042451	endomyometritis	An inflammation of the endometrium and the myometrium.	endomyometritis		MEDGEN:75710; UMLS:C0269050; icd11.foundation:229826357; SCTID:88027004	autoimmune_diseases|inflammatory_disease	gastroenterology | obstetrics_and_gynecology	reproductive_system_disorder | lower_gastrointestinal_disorder | upper_gastrointestinal_disorder
MONDO:0006746	endomyocardial fibrosis	A disease characterized by fibrotic thickening of the endocardium, particularly the right and/or left inflow tracts. The disease often involves the atrioventricular valves, leading to valvular regurgitaion. It most commonly occurs in children living within 15 degrees of the equator.	obscure African cardiomyopathy; African endomyocardial fibrosis; endomyocardial sclerosis	mondo:otar; mondo:nord_rare; mondo:rare; mondo:gard_rare	icd11.foundation:365224859; UMLS:C0553980; DOID:12932; GARD:6340; EFO:1000921; MEDGEN:107513; MESH:D004719; ICD9:425.0; NCIT:C34585; MedDRA:10014800; NORD:1092	cardiovascular_disorder|autoimmune_diseases|inflammatory_disease	cardiology | cardiothoracic | pulmonology	heart_disorder | vascular_disorder
MONDO:0003315	endometrium carcinoma in situ	A carcinoma in situ involving a endometrium.	stage 0 endometrium carcinoma; carcinoma in situ of endometrium; endometrium in situ carcinoma; endometrial carcinoma in situ	mondo:icd10_billable	DOID:5172; UMLS:C0346191; MEDGEN:87545; ICD10CM:D07.0; ICD9:233.2; SCTID:92582009	cancer | endometrial cancer	obstetrics_and_gynecology | oncology	reproductive_system_disorder | lower_gastrointestinal_disorder
MONDO:0001288	endometriosis of rectovaginal septum and vagina	Endometriosis that affects the vagina. It is characterized by the presence of endometrial stroma with or without endometrial-type glands in the vagina.	vaginal endometriosis	mondo:otar; mondo:icd10_billable	MEDGEN:510250; SCTID:198253003; ICD9:617.4; DOID:11431; NCIT:C128064; ICD10CM:N80.4; UMLS:C0156346	inflammatory_disease | autoimmune_diseases	obstetrics_and_gynecology|pediatric	reproductive_system_disorder|lower_gastrointestinal_disorder
MONDO:0001285	endometriosis of pelvic peritoneum			mondo:icd10_billable; mondo:otar	ICD9:617.3; SCTID:198251001; DOID:11429; icd11.foundation:1015401835; UMLS:C0156345; ICD10CM:N80.3; MEDGEN:510249	autoimmune_diseases|inflammatory_disease	"obstetrics_and_gynecology | other 

 Corrected response: 
 obstetrics_and_gynecology | rheumatology"	reproductive_system_disorder | joint_disorder
MONDO:0001284	endometriosis of intestine	Endometriosis that affects the intesines.	endometriosis (disease) of intestine; intestine endometriosis (disease)	mondo:icd10_billable	MEDGEN:510251; ICD9:617.5; DOID:11428; icd11.foundation:706777963; UMLS:C0156347; SCTID:5562006; ICD10CM:N80.5	autoimmune_diseases | inflammatory_disease | cancer	gastroenterology | obstetrics_and_gynecology	lower_gastrointestinal_disorder | reproductive_system_disorder
MONDO:0001287	endometriosis in cutaneous scar		endometriosis in scar of skin	mondo:icd10_billable	icd11.foundation:1586348950; ICD9:617.6; MEDGEN:510252; DOID:11430; SCTID:53913001; ICD10CM:N80.6; UMLS:C0156348	autoimmune_diseases | inflammatory_disease	obstetrics_and_gynecology | dermatology	reproductive_system_disorder | skin_disorder
MONDO:0003313	endometrioid stromal sarcoma of the vagina	A rare sarcoma that arises from the vagina. This category includes low grade endometrioid stromal sarcoma and undifferentiated vaginal sarcoma.	endometrioid stromal sarcoma of vagina; vagina endometrioid stromal sarcoma; endometrioid stromal sarcoma of the vagina	mondo:gard_rare; mondo:rare; mondo:nord_rare	MEDGEN:770969; DOID:5170; UMLS:C3642329; NCIT:C40270	cancer | endometrial cancer | stromal sarcoma | vaginal disease | pelvic disease | gynecologic disease | malignant neoplasm	obstetrics_and_gynecology | oncology	reproductive_system_disorder | lower_gastrointestinal_disorder
MONDO:0003030	endometrioid stromal sarcoma of the cervix	A rare sarcoma that arises from the cervix. This category includes low grade endometrioid stromal sarcoma and undifferentiated endocervical sarcoma.	endometrioid stromal sarcoma of the cervix; endometrioid stromal sarcoma of uterine cervix; uterine cervix endometrioid stromal sarcoma; endometrial stromal sarcoma of the cervix	mondo:rare; mondo:gard_rare	MEDGEN:770966; DOID:4520; UMLS:C3642326; NCIT:C40220	cancer | cancer | adrenal_gland_disease	obstetrics_and_gynecology | oncology	reproductive_system_disorder | other
MONDO:0006745	endometrioid stromal sarcoma	A malignant mesenchymal neoplasm that affects the uterine corpus, and rarely, the ovaries, cervix, and vagina. In the uterine corpus it is classified as low grade or high grade endometrial stromal sarcoma. In the remainder of the anatomic sites it is classified as low grade endometrioid stromal sarcoma.	endometrial stromal sarcoma; stromal sarcoma, endometrial; stromal sarcoma of the corpus uteri; undifferentiated endometrial sarcoma; Empty Sella Syndrome; stromal sarcomas, endometrial; stromal sarcoma, endometrial, malignant; ess; endometrial stromal sarcoma, high grade; ESS; sarcomas, endometrial stromal; endometrioid stromal sarcoma; endometrial stromal sarcomas	mondo:otar; mondo:orphanet_rare; mondo:ordo_disorder; mondo:nord_rare; mondo:rare; mondo:gard_rare	UMLS:C0206630; GARD:6339; MedDRA:10048397; EFO:1000919; MESH:D018203; NCIT:C8973; NORD:1086; ONCOTREE:ESS; SCTID:699356008; Orphanet:213711; MedDRA:10057649; ICDO:8930/3; DOID:4226; MEDGEN:60196	cancer | adrenal_gland_disease | stromal_sarcoma	oncology | obstetrics_and_gynecology	reproductive_system_disorder | muscle_disorder
MONDO:0006199	endometrial undifferentiated carcinoma	A primary carcinoma of the endometrium characterized by the presence of malignant cells that lack evidence of differentiation.	undifferentiated endometrial carcinoma; endometrial undifferentiated carcinoma	mondo:otar	icd11.foundation:130578959; EFO:1000242; UMLS:C1516865; MEDGEN:274013; NCIT:C40156	cancer | adrenal_gland_disease | other	oncology | obstetrics_and_gynecology	reproductive_system_disorder | lower_gastrointestinal_disorder
MONDO:0004487	endometrial type cervical adenomyoma	An adenomyoma that arises from the cervix and is characterized by the presence of endometrial type glands and endometrial stroma, surrounded by smooth muscle. There is no evidence of atypia.	cervical adenomyoma, endometrial type		DOID:8178; NCIT:C40233	gynecologic_cancer | cancer	obstetrics_and_gynecology|oncology	reproductive_system_disorder | lower_gastrointestinal_disorder | endocrine_disorder
MONDO:0002832	endometrial transitional cell carcinoma	A rare primary carcinoma of the endometrium characterized by the presence of malignant epithelial cells resembling urothelial transitional cells. The malignant transitional cells constitute at least 90% of the tumor cells.	endometrial transitional cell carcinoma	mondo:rare; mondo:gard_rare	NCIT:C40154; DOID:4005; UMLS:C1516864; MEDGEN:273232	cancer | adrenal_gland_disease | endometrial cancer	obstetrics_and_gynecology | oncology	reproductive_system_disorder|lower_gastrointestinal_disorder
MONDO:0001783	endometrial stromal nodule	A non-infiltrating, benign mesenchymal neoplasm arising from the uterine corpus. It is characterized by the presence of neoplastic cells that resemble the cells of the proliferative phase of endometrial stroma and numerous thin-walled small vessels. It usually presents with abnormal uterine bleeding and menorrhagia.			SCTID:721571001; NCIT:C4262; ICDO:8930/0; UMLS:C0334485; MEDGEN:90790; DOID:1373	cancer | adrenal_gland_disease	obstetrics_and_gynecology|oncology	reproductive_system_disorder | joint_disorder | muscle_disorder
MONDO:0006197	endometrial small cell carcinoma	A primary carcinoma of the endometrium that is similar to the small cell carcinoma of the lung, histologically.	endometrial small cell carcinoma; endometrium small cell carcinoma; small cell carcinoma of endometrium	mondo:gard_rare; mondo:rare; mondo:otar	icd11.foundation:845680139; MEDGEN:309057; DOID:7139; NCIT:C40155; EFO:1000239; UMLS:C1516858	cancer|adrenal_gland_disease	oncology | obstetrics_and_gynecology	reproductive_system_disorder | lung_disorder
MONDO:0006196	endometrial serous adenocarcinoma	A high grade, aggressive adenocarcinoma arising from the endometrium. It is characterized by the presence of complex papillary patterns with cellular budding. Atypical mitoses, necrosis, and psammoma bodies may be present. It is classified as type II endometrial carcinoma and it is not associated with endometrial hyperplasia. It tends to invade deeply into the myometrium and spreads into the lymphatic vessels. Patients frequently present with spread of the tumor beyond the uterus at the time of diagnosis. The prognosis is usually poor.	uterine serous papillary adenocarcinoma; uterine corpus serous adenocarcinoma; body of uterus serous adenocarcinoma; endometrial serous adenocarcinoma; uterine papillary serous carcinoma; serous endometrial adenocarcinoma	mondo:otar	DOID:5750; UMLS:C0854924; ONCOTREE:USC; icd11.foundation:225222541; MEDGEN:1659908; NCIT:C27838; EFO:1000238	cancer | adrenal_gland_disease | autoimmune_diseases | inflammatory_disease	obstetrics_and_gynecology | oncology	reproductive_system_disorder | lower_gastrointestinal_disorder | upper_gastrointestinal_disorder
MONDO:0006195	endometrial polyp	A benign nodular lesion protruding above the surface of the endometrium. It is composed of a fibrous stroma that contains thick-walled blood vessels and dilated endometrial glands. Polypectomy is the treatment of choice. Only few cases with recurrence have been reported.	polyp of the endometrium; polyp of endometrium; polyp, endometrial stromal, benign; endometrial polyp; endometrial stromal polyp; endometrium polyp	mondo:otar	UMLS:C1704273; NCIT:C6433; MEDGEN:312370; EFO:1000237	cancer | reproductive_system_disease | gynecologic_disorder	obstetrics_and_gynecology | gynecology	reproductive_system_disorder | lower_gastrointestinal_disorder
MONDO:0002747	endometrial mucinous adenocarcinoma	A primary, usually low grade adenocarcinoma of the endometrium in which the majority of the malignant epithelial cells contain abundant intracytoplasmic mucin.	endometrium mucinous adenocarcinoma; endometrial mucinous adenocarcinoma	mondo:otar	MEDGEN:276939; ONCOTREE:UMC; DOID:3707; icd11.foundation:395055399; EFO:1000236; NCIT:C40144; UMLS:C1519859	| cancer | adrenal_gland_disease	obstetrics_and_gynecology | oncology	reproductive_system_disorder | lower_gastrointestinal_disorder
MONDO:0004321	endometrial mixed adenocarcinoma	An adenocarcinoma that arises from the endometrium and is characterized by the presence of both type I and type II endometrial adenocarcinoma components. The minor component constitutes at least 5% of the entire tumor.	endometrial mixed adenocarcinoma	mondo:otar	MEDGEN:1670192; DOID:7664; UMLS:C4745252; icd11.foundation:575106861; NCIT:C40153	"| cancer | adrenal_gland_disease | endometrial_disease | autoimmune_diseases | inflammatory_disease | other 

Corrected answer:
cancer | adrenal_gland_disease | autoimmune_diseases | inflammatory_disease"	obstetrics_and_gynecology|oncology	reproductive_system_disorder|lower_gastrointestinal_disorder
MONDO:0006193	endometrial hyperplasia without atypia	Simple or complex endometrial hyperplasia characterized by the absence of epithelial atypia.	typical endometrial hyperplasia	mondo:otar	ICD9:621.34; MEDGEN:274011; NCIT:C40157; UMLS:C1516855; EFO:1000234; SCTID:134031000119108	inflammatory_disease | cancer	obstetrics_and_gynecology | endocrinology	reproductive_system_disorder | lower_gastrointestinal_disorder | endocrine_disorder
MONDO:0004220	endometrial endometrioid adenocarcinoma with spindled epithelial cells	A primary endometrioid adenocarcinoma of the endometrium characterized by the presence of spindled malignant epithelial cells.	endometrial endometrioid adenocarcinoma with spindled epithelial cells; sarcomatoid uterine corpus endometrioid adenocarcinoma		DOID:7436; MEDGEN:234979; UMLS:C1336913; NCIT:C27850	cancer | endometrial | adenocarcinoma	obstetrics_and_gynecology | oncology	reproductive_system_disorder | lower_gastrointestinal_disorder
MONDO:0006191	endometrial clear cell adenocarcinoma	A clear cell adenocarcinoma that involves the endometrium.	clear cell carcinoma of endometrium; clear cell carcinoma of the endometrium; endometrial clear cell adenocarcinoma; endometrium clear cell adenocarcinoma	mondo:otar	icd11.foundation:388735319; EFO:1000231; MEDGEN:124655; NCIT:C8028; UMLS:C0279765; DOID:5299	cancer | adrenal_gland_disease	obstetrics_and_gynecology|oncology	reproductive_system_disorder | lower_gastrointestinal_disorder
MONDO:0011962	endometrial cancer	Primary or metastatic malignant neoplasm involving the endometrium (mucous membrane that lines the endometrial cavity).	endometrial cancer; endometrium cancer; cancer of endometrium; primary malignant neoplasm of endometrium; malignant endometrium neoplasm; endometrial cancer, familial, autosomal dominant, somatic mutation; endometrial Ca; endometrial cancer, susceptibility to, autosomal dominant, somatic mutation; endometrial carcinoma, somatic; malignant neoplasm of endometrium; malignant endometrial neoplasm	mondo:matrix_included; mondo:otar	DOID:1380; UMLS:C0007103; MEDGEN:2840; NCIT:C27815; OMIM:608089	cancer | adrenal_gland_disease	obstetrics_and_gynecology|oncology	reproductive_system_disorder|lower_gastrointestinal_disorder
MONDO:0003556	endometrial adenosquamous carcinoma	A rare endometrial carcinoma characterized by the presence of both malignant glandular and malignant squamous cellular components.	endometrial adenosquamous carcinoma; endometrium adenosquamous carcinoma; adenosquamous carcinoma of endometrium	mondo:otar	EFO:1001952; NCIT:C114656; MEDGEN:856563; UMLS:C3896969; DOID:5631	cancer | adrenal_gland_disease | other	oncology | obstetrics_and_gynecology	reproductive_system_disorder|lower_gastrointestinal_disorder|upper_gastrointestinal_disorder
MONDO:0006190	endolymphatic sac tumor	An aggressive epithelial neoplasm arising from the temporal bone. It is characterized by the presence of a papillary pattern, and has been described as an adenoma or carcinoma in the literature. There is disagreement regarding its relationship to endolymphatic sac tumor.	tumour of endolymphatic sac; endolymphatic sac tumour (disease); endolymphatic sac tumor; aggressive papillary tumour of the temporal bone; ELST; endolymphatic sac neoplasm (disease); endolymphatic sac neoplasm; neoplasm of endolymphatic sac; aggressive papillary tumor of the temporal bone; endolymphatic sac tumor (disease); tumor of endolymphatic sac	mondo:otar	EFO:1000230; UMLS:C2348239; ICD9:212.0; ICDO:8260/1; HP:0030393; SCTID:699817008; NCIT:C67560; MEDGEN:389657	cancer|adrenal_gland_disease	otolaryngology | oncology	lymphatic_disorder | ear_disorder
MONDO:0012048	endogenous depression	Depression which is considered strictly biological.			SCTID:300706003; UMLS:C0011573; MEDGEN:3763; DOID:1595; NCIT:C34532; NCIT:C35094	mental_health_disorder|neurodegenerative_disease	neurology|psychiatry	brain_disorder | endocrine_disorder
MONDO:0957431	endogenous Cushing syndrome			mondo:rare; mondo:ordo_group_of_disorders; mondo:gard_rare	Orphanet:641613; UMLS:C5419158; MEDGEN:1727013	metabolic_disorder|adrenal_gland_disease	endocrinology | genetics_and_genomics | neurology | obstetrics_and_gynecology	endocrine_disorder|brain_disorder
MONDO:0012980	endocrine-cerebro-osteodysplasia syndrome	Endocrine-cerebro-osteodysplasia (ECO) syndrome is characterized by various anomalies of the endocrine, cerebral, and skeletal systems resulting in neonatal mortality.	ECO syndrome	mondo:ordo_malformation_syndrome; mondo:otar; mondo:rare; mondo:nord_rare; mondo:gard_rare; mondo:orphanet_rare; mondo:ordo_disorder	Orphanet:199332; OMIM:612651; MESH:C567210; icd11.foundation:413985102; UMLS:C2675227; MEDGEN:390740; GARD:17094; SCTID:723309006; DOID:0060641	metabolic_disorder | endocrine_gland_disease | other	genetics_and_genomics | endocrinology | pediatric	endocrine_disorder | bone_disorder | other
MONDO:0003632	endocervicitis	Inflammation of the endocervix.	inflammation of endocervix; endocervix inflammation	mondo:otar	MEDGEN:4942; UMLS:C0014127; icd11.foundation:803236221; SCTID:31354001; NCIT:C26762; DOID:5757	autoimmune_diseases|inflammatory_disease	obstetrics_and_gynecology | rheumatology | allergy_and_immunology	immune_disorder | reproductive_system_disorder
MONDO:0004538	endocervical type cervical mucinous adenocarcinoma	A cervical mucinous adenocarcinoma characterized by the presence of malignant glandular cells that resemble those of the endocervix.	cervical mucinous adenocarcinoma, endocervical type; cervical adenocarcinoma, endocervical type	mondo:gard_rare; mondo:rare	NCIT:C40202; DOID:8340	cancer|adeno carcinoma|	oncology | obstetrics_and_gynecology	reproductive_system_disorder | lower_gastrointestinal_disorder
MONDO:0004486	endocervical type cervical adenomyoma	An adenomyoma that arises from the cervix and is characterized by the presence of endocervical mucinous glands and a smooth muscle cell component. There is no atypia or significant mitotic activity present.	cervical adenomyoma, endocervical type		DOID:8177; UMLS:C1516405; MEDGEN:275706; NCIT:C40232	cancer|adrenal_gland_disease|inflammatory_disease	obstetrics_and_gynecology | oncology	reproductive_system_disorder|muscle_disorder
MONDO:0000554	endocervical adenocarcinoma	An adenocarcinoma that arises from the endocervix. It is the most common type of endocervical adenocarcinoma. The neoplastic epithelium shows a pseudostratified architecture and the malignant cells have enlarged, elongated, and hyperchromatic nuclei.	endocervical adenocarcinoma, usual type; endocervix adenocarcinoma	mondo:gard_rare; mondo:otar; mondo:rare	NCIT:C127907; MEDGEN:688039; SCTID:123842006; DOID:0050940; ONCOTREE:ECAD; UMLS:C1263762	cancer | endocrine_system_disease | neoplastic_disease	obstetrics_and_gynecology|oncology	reproductive_system_disorder|lower_gastrointestinal_disorder|upper_gastrointestinal_disorder
MONDO:0003687	endocardium cancer	A malignant neoplasm involving the endocardium.	malignant neoplasm of the endocardium; malignant tumor of the endocardium; endocardium cancer; malignant endocardial tumor; malignant tumour of the endocardium; cancer of endocardium; malignant neoplasm of endocardium; malignant tumor of endocardium; malignant endocardium neoplasm; malignant endocardial tumour; malignant endocardial neoplasm; malignant tumour of endocardium		SCTID:363436001; MEDGEN:91107; DOID:5877; UMLS:C0346612; NCIT:C4570	cardiovascular_disorder|cancer	cardiology | oncology	heart_disorder | vascular_disorder
MONDO:0009170	endocardial fibroelastosis and coarctation of abdominal aorta		endocardial fibroelastosis and coarctation of abdominal aorta		MESH:C565592; OMIM:226100; MEDGEN:341665; UMLS:C1856971	cardiovascular_disorder|coarctation_of_abdominal_aorta_is_not_a_cardiovascular_disorder_it_should_be_replaced_with_the_proper_category_and_endocardial_fibroelastosis_is_also_a_cardiovascular_disorder |	cardiology|pediatric	heart_disorder|vascular_disorder
MONDO:0009169	endocardial fibroelastosis	Endomyocardial fibroelastosis is a cause of unexplained childhood cardiac insufficiency. It results from diffuse thickening of the endocardium leading to dilated myocardiopathy in the majority of cases and restrictive myocardiopathy in rare cases. It may occur as a primary disorder or may be secondary to another cardiac malformation, notably aortic stenosis or atresia.	Elastomyofibrosis; endocardial fibroelastosis	mondo:ordo_disorder; mondo:nord_rare; mondo:orphanet_rare; mondo:rare; mondo:gard_rare; mondo:otar; mondo:icd10_billable	NORD:1090; OMIM:226000; icd11.foundation:1971033419; NCIT:C98922; NANDO:2100060; EFO:0007251; UMLS:C0014117; Orphanet:2022; SCTID:65457005; ICD10CM:I42.4; MEDGEN:4041; GARD:6336; MedDRA:10014663; MESH:D004695; ICD9:425.3; DOID:12929; NANDO:2200235	cardiovascular_disorder|inflammatory_disease|autoimmune_diseases	cardiology | cardiothoracic	heart_disorder | vascular_disorder
MONDO:0000961	endobronchial lipoma	A rare benign adipose tissue neoplasm located within the lumen of a bronchus. It is predominantly found in males and usually originates within the fatty tissue between bronchial cartilage. May cause irreversible pulmonary damage distally. Two-thirds of the tumors occur on the right side and most are located on the first three subdivisions of the tracheobronchial tree.	endobronchial lipoma		UMLS:C0852937; NCIT:C5063; DOID:10183; MEDGEN:208874	cancer|adrenal_gland_disease|inflammatory_disease	cardiothoracic | pulmonology	lung_disorder|throat_disorder
MONDO:0003944	endobronchial leiomyoma	A benign smooth muscle neoplasm arising endobronchially. It is characterized by the presence of spindle cells with cigar-shaped nuclei, interlacing fascicles, and a whorled pattern.	endobronchial leiomyoma; lung leiomyoma of bronchus; bronchus lung leiomyoma		MEDGEN:232455; UMLS:C1333386; DOID:6608; NCIT:C5661	cancer | adrenal_gland_disease	| pulmonology | oncology | cardiothoracic	lung_disorder|muscle_disorder
MONDO:0000330	endemic typhus	A bacterial infection caused by Rickettsia typhi.	fleaborne typhus; urban typhus; endemic typhus fever; urban typhus of Malaya; cat flea rickettsiosis; endemic flea-borne typhus; Rickettsia felis spotted fever; rat-flea typhus; murine typhus; toulon typhus	mondo:orphanet_rare; mondo:ordo_disorder; mondo:rare; mondo:gard_rare; mondo:nord_rare	MEDGEN:11977; icd11.foundation:4659958; MESH:D014437; UMLS:C0041472; MedDRA:10028282; DOID:0050481; NCIT:C84688; GARD:19033; Orphanet:83315	inflammatory_disease | autoimmune_diseases	pediatric | hematology | infectious diseases	immune_disorder | lower_gastrointestinal_disorder
MONDO:0006742	endemic goiter	Thyroid gland enlargement caused by inadequate dietary iodine intake. It occurs in areas in which the soil lacks iodine compounds or there is low seafood consumption.	simple goiter; simple goitre; iodine-deficiency-related endemic goiter; iodine-deficiency-related endemic goitre	mondo:otar	EFO:1000916; MEDGEN:5357; DOID:13198; UMLS:C0018022; SCTID:56805008; MedDRA:10068848; MESH:D006043; SCTID:267369002; ICD9:240.0; NCIT:C35023	metabolic disorder | autoimmune_diseases	endocrinology | genetics_and_genomics | pediatric	endocrine_disorder | thyroid_disorder is not in the list so: endocrine_disorder
MONDO:0023067	endemic Kaposi sarcoma			mondo:rare; mondo:gard_rare; mondo:nord_rare	GARD:10431; MEDGEN:698516; UMLS:C1275231; icd11.foundation:509381237	cancer | autoimmune_diseases	oncology | dermatology | hematology	lymphatic_disorder | skin_disorder
MONDO:0043576	endarteritis	Inflammation of the arterial intima.	inflammation of tunica intima of artery; tunica intima of artery inflammation; endarteritis	mondo:gard_rare; mondo:rare	MEDGEN:41777; NCIT:C34581; MESH:D004692; SCTID:33806008; UMLS:C0014100	cardiovascular_disorder|inflammatory_disease|autoimmune_diseases	cardiology | rheumatology | hematology	vascular_disorder|immune_disorder
MONDO:0004375	end stage renal failure	Long-standing and persistent renal disease with glomerular filtration rate (GFR) less than 15 ml/min.	disease (ESRD), end stage renal; renal disease (ESRD), end stage; ESRD, end stage renal disease; end stage renal disease (ESRD); ESRD; chronic kidney disease, stage 5; renal disease, end stage; end stage kidney disease; end stage renal disease; end stage kidney failure	mondo:icd10_billable	SCTID:46177005; ICD10CM:N18.5; UMLS:C2316810; NCIT:C9439; DOID:783; ICD9:585.6; MEDGEN:384526	metabolic disorder | inflammatory disease | autoimmune diseases	renal medicine | urology	kidney_disorder|urinary_tract_disorder
